_id,meditation_start,meditation_end,meditation_duration,mindfulness_rating,concentration_rating,comment
40,2020-02-16 15:42:13.133000+00:00,2020-02-16 16:12:21.091000+00:00,1806.0,,,
41,2020-02-16 23:16:00.582000+00:00,2020-02-16 23:26:07.199000+00:00,605.0,,,
42,2020-02-17 10:16:33.241000+00:00,2020-02-17 10:46:41.168000+00:00,1806.0,,,
43,2020-02-18 09:22:32.466000+00:00,2020-02-18 09:52:44.337000+00:00,1810.0,,,
44,2020-02-19 08:50:55.773000+00:00,2020-02-19 09:21:33.310000+00:00,1809.0,,,
45,2020-02-20 16:05:58.926000+00:00,2020-02-20 16:25:22.887000+00:00,1149.0,,,
46,2020-02-21 11:00:38.293000+00:00,2020-02-21 11:45:24.997000+00:00,2410.0,,,
48,2020-02-22 11:47:07.005000+00:00,2020-02-22 12:07:15.473000+00:00,1206.0,,,
49,2020-02-22 22:11:24.335000+00:00,2020-02-22 22:31:44.020000+00:00,1218.0,,,
50,2020-02-23 10:47:06.722000+00:00,2020-02-23 11:07:18.695000+00:00,1210.0,,,
51,2020-02-24 23:33:59.035000+00:00,2020-02-24 23:54:05.838000+00:00,1205.0,,,
52,2020-02-26 00:07:31.629000+00:00,2020-02-26 00:27:40.033000+00:00,1206.0,,,
53,2020-02-27 15:42:20.640000+00:00,2020-02-27 15:57:32.354000+00:00,909.0,,,
54,2020-02-29 10:13:15.222000+00:00,2020-02-29 10:43:21.011000+00:00,1804.0,,,
55,2020-02-29 21:51:07.699000+00:00,2020-02-29 22:11:26.168000+00:00,1216.0,,,
56,2020-03-01 08:48:15.791000+00:00,2020-03-01 08:58:27.363000+00:00,609.0,,,
57,2020-03-01 10:38:31.716000+00:00,2020-03-01 11:01:29.044000+00:00,1209.0,,,
58,2020-03-01 23:00:15.508000+00:00,2020-03-01 23:21:08.011000+00:00,1250.0,,,
59,2020-03-02 07:31:52.874000+00:00,2020-03-02 07:52:01.727000+00:00,1207.0,,,
60,2020-03-03 07:42:02.711000+00:00,2020-03-03 08:02:10.052000+00:00,1205.0,,,
61,2020-03-04 23:05:58.290000+00:00,2020-03-04 23:07:39.759000+00:00,100.0,,,
62,2020-03-06 08:40:08.492000+00:00,2020-03-06 09:00:17.475000+00:00,1207.0,,,
63,2020-03-06 15:31:11.681000+00:00,2020-03-06 15:51:18.093000+00:00,1204.0,,,
64,2020-03-07 01:50:10.072000+00:00,2020-03-07 02:00:55.954000+00:00,644.0,,,
65,2020-03-08 10:58:14.896000+00:00,2020-03-08 11:20:49.639000+00:00,1352.0,,,
66,2020-03-08 15:55:14.844000+00:00,2020-03-08 16:15:22.952000+00:00,1206.0,,,
67,2020-03-09 10:37:19.646000+00:00,2020-03-09 10:57:32.213000+00:00,1211.0,,,
68,2020-03-10 08:30:57.711000+00:00,2020-03-10 08:51:04.864000+00:00,1205.0,,,
69,2020-03-10 14:16:47.974000+00:00,2020-03-10 14:27:05.106000+00:00,615.0,,,
70,2020-03-11 09:57:18.159000+00:00,2020-03-11 10:17:25.249000+00:00,1205.0,,,
71,2020-03-11 15:30:03.969000+00:00,2020-03-11 15:50:12.612000+00:00,1207.0,,,
72,2020-03-11 23:06:11.073000+00:00,2020-03-11 23:22:38.125000+00:00,985.0,,,
73,2020-03-12 12:32:01.460000+00:00,2020-03-12 12:47:27.742000+00:00,925.0,,,
74,2020-03-12 22:15:40.525000+00:00,2020-03-12 22:35:49.961000+00:00,1207.0,,,
75,2020-03-13 13:01:03.452000+00:00,2020-03-13 13:12:25.028000+00:00,680.0,,,
77,2020-03-13 21:40:33.155000+00:00,2020-03-13 22:10:44.730000+00:00,1809.0,,,
78,2020-03-14 17:35:56.496000+00:00,2020-03-14 17:56:11.792000+00:00,1213.0,,,
79,2020-03-14 22:53:27.319000+00:00,2020-03-14 23:13:56.985000+00:00,1228.0,,,
80,2020-03-15 13:41:34.107000+00:00,2020-03-15 13:56:34.496000+00:00,857.0,,,
81,2020-03-15 21:00:23.451000+00:00,2020-03-15 21:26:24.700000+00:00,1520.0,,,
82,2020-03-16 06:21:46.674000+00:00,2020-03-16 06:41:55.973000+00:00,1207.0,,,
83,2020-03-16 21:05:37.850000+00:00,2020-03-16 21:21:46.754000+00:00,967.0,,,
84,2020-03-17 06:31:21.795000+00:00,2020-03-17 06:51:32.093000+00:00,1208.0,,,
85,2020-03-17 21:59:19.036000+00:00,2020-03-17 22:19:25.982000+00:00,1205.0,,,
86,2020-03-18 15:36:30.360000+00:00,2020-03-18 15:56:39.523000+00:00,1207.0,,,
87,2020-03-18 22:48:18.474000+00:00,2020-03-18 23:08:34.631000+00:00,1214.0,,,
88,2020-03-19 07:14:26.704000+00:00,2020-03-19 07:34:43.551000+00:00,1210.0,,,
89,2020-03-19 21:49:48.236000+00:00,2020-03-19 22:10:38.773000+00:00,1210.0,,,
90,2020-03-20 08:18:22.214000+00:00,2020-03-20 08:40:31.159000+00:00,1207.0,,,
91,2020-03-20 15:16:22.202000+00:00,2020-03-20 15:36:42.949000+00:00,1219.0,,,
92,2020-03-20 21:13:22.792000+00:00,2020-03-20 21:33:35.476000+00:00,1211.0,,,
93,2020-03-21 13:17:40.440000+00:00,2020-03-21 13:37:55.309000+00:00,1213.0,,,
94,2020-03-21 22:28:38.525000+00:00,2020-03-21 22:49:00.865000+00:00,1220.0,,,
95,2020-03-22 11:11:57.249000+00:00,2020-03-22 11:32:08.593000+00:00,1209.0,,,
96,2020-03-22 16:05:47.454000+00:00,2020-03-22 16:25:54.456000+00:00,1205.0,,,
98,2020-03-23 09:10:28.362000+00:00,2020-03-23 09:30:34.571000+00:00,1204.0,,,
99,2020-03-23 15:29:57.233000+00:00,2020-03-23 15:50:15.143000+00:00,1216.0,,,
100,2020-03-23 22:36:02.377000+00:00,2020-03-23 22:56:14.793000+00:00,1210.0,,,
101,2020-03-24 15:18:11.423000+00:00,2020-03-24 15:38:56.660000+00:00,1213.0,,,
102,2020-03-24 21:09:42.871000+00:00,2020-03-24 21:29:51.593000+00:00,1207.0,,,
103,2020-03-25 08:59:35.264000+00:00,2020-03-25 09:19:49.109000+00:00,1212.0,,,
104,2020-03-25 15:20:41.177000+00:00,2020-03-25 15:40:53.040000+00:00,1210.0,,,
105,2020-03-25 22:51:38.847000+00:00,2020-03-25 23:16:55.579000+00:00,1222.0,,,
106,2020-03-26 21:28:28.804000+00:00,2020-03-26 21:48:35.559000+00:00,1205.0,,,
107,2020-03-26 22:32:52.196000+00:00,2020-03-26 22:43:47.305000+00:00,653.0,,,
108,2020-03-26 22:45:41.073000+00:00,2020-03-26 22:50:59.518000+00:00,317.0,,,
109,2020-03-27 07:32:20.475000+00:00,2020-03-27 07:52:29.027000+00:00,1207.0,,,
110,2020-03-27 15:41:47.681000+00:00,2020-03-27 15:55:18.313000+00:00,809.0,,,
113,2020-03-27 15:57:55.952000+00:00,2020-03-27 16:03:55.952000+00:00,360.0,,,
114,2020-03-27 22:48:13.063000+00:00,2020-03-27 23:08:25.992000+00:00,1211.0,,,
115,2020-03-28 10:17:56.139000+00:00,2020-03-28 10:38:08.507000+00:00,1210.0,,,
116,2020-03-28 22:10:13.742000+00:00,2020-03-28 22:30:36.338000+00:00,1221.0,,,
117,2020-03-29 14:13:44.054000+00:00,2020-03-29 14:23:59.986000+00:00,614.0,,,
118,2020-03-29 14:45:32.319000+00:00,2020-03-29 15:05:43.820000+00:00,1209.0,,,
119,2020-03-29 21:48:51.538000+00:00,2020-03-29 22:01:38.634000+00:00,765.0,,,
120,2020-03-30 07:38:03.508000+00:00,2020-03-30 07:58:12.528000+00:00,1207.0,,,
122,2020-03-30 21:50:06.261000+00:00,2020-03-30 22:10:14.517000+00:00,1206.0,,,
123,2020-03-31 06:52:11.750000+00:00,2020-03-31 07:06:24.320000+00:00,851.0,,,
124,2020-03-31 19:33:59.100000+00:00,2020-03-31 19:52:02.353000+00:00,1073.0,,,
125,2020-03-31 22:16:38.096000+00:00,2020-03-31 22:32:38.258000+00:00,958.0,,,
126,2020-04-01 06:15:31.780000+00:00,2020-04-01 06:35:43.190000+00:00,1209.0,,,
127,2020-04-02 07:00:00.218000+00:00,2020-04-02 07:14:04.447000+00:00,842.0,,,
128,2020-04-02 07:15:56.899000+00:00,2020-04-02 07:32:49.313000+00:00,1011.0,,,
129,2020-04-02 21:14:45.805000+00:00,2020-04-02 21:35:10.448000+00:00,1223.0,,,
130,2020-04-03 08:21:09.062000+00:00,2020-04-03 08:33:06.129000+00:00,715.0,,,
131,2020-04-03 08:34:18.604000+00:00,2020-04-03 08:54:27.374000+00:00,1207.0,,,
132,2020-04-03 19:21:11.771000+00:00,2020-04-03 19:33:42.256000+00:00,749.0,,,
133,2020-04-03 19:39:27.778000+00:00,2020-04-03 19:54:07.962000+00:00,878.0,,,
134,2020-04-04 10:29:44.070000+00:00,2020-04-04 10:49:52.284000+00:00,1206.0,,,
136,2020-04-04 15:19:20.439000+00:00,2020-04-04 15:36:50.372000+00:00,1032.0,,,
137,2020-04-05 10:27:24.272000+00:00,2020-04-05 10:47:33.311000+00:00,1207.0,,,
138,2020-04-05 14:22:04.879000+00:00,2020-04-05 14:38:02.862000+00:00,956.0,,,
139,2020-04-06 06:17:46.715000+00:00,2020-04-06 06:37:57.200000+00:00,1208.0,,,
140,2020-04-06 10:22:37.878000+00:00,2020-04-06 10:41:16.741000+00:00,1117.0,,,
141,2020-04-06 19:51:23.657000+00:00,2020-04-06 20:11:39.635000+00:00,1214.0,,,
142,2020-04-07 06:18:32.095000+00:00,2020-04-07 06:38:44.707000+00:00,1211.0,,,
143,2020-04-07 10:39:37.206000+00:00,2020-04-07 10:50:07.652000+00:00,629.0,,,
144,2020-04-07 19:17:15.327000+00:00,2020-04-07 19:37:21.728000+00:00,1204.0,,,
145,2020-04-08 07:31:22.158000+00:00,2020-04-08 07:51:31.971000+00:00,1208.0,,,
146,2020-04-08 11:38:06.514000+00:00,2020-04-08 11:48:45.670000+00:00,637.0,,,
147,2020-04-09 07:39:24.651000+00:00,2020-04-09 07:59:30.601000+00:00,1204.0,,,
148,2020-04-09 16:49:14.292000+00:00,2020-04-09 16:59:21.706000+00:00,606.0,,,
149,2020-04-09 19:47:10.129000+00:00,2020-04-09 20:02:45.273000+00:00,933.0,,,
150,2020-04-09 20:04:10.404000+00:00,2020-04-09 20:24:23.636000+00:00,1211.0,,,
151,2020-04-10 07:07:36.113000+00:00,2020-04-10 07:27:45.790000+00:00,1208.0,,,
152,2020-04-10 13:03:51.903000+00:00,2020-04-10 13:29:47.140000+00:00,1553.0,,,
153,2020-04-11 11:41:24.059000+00:00,2020-04-11 12:01:35.088000+00:00,1209.0,,,
154,2020-04-11 13:12:47.286000+00:00,2020-04-11 13:33:31.737000+00:00,1242.0,,,
155,2020-04-11 20:26:01.360000+00:00,2020-04-11 20:46:11.465000+00:00,1208.0,,,
156,2020-04-12 11:22:03.132000+00:00,2020-04-12 11:42:11.269000+00:00,1206.0,,,
157,2020-04-12 14:48:47.575000+00:00,2020-04-12 14:53:02.162000+00:00,229.0,,,
158,2020-04-12 21:03:31.496000+00:00,2020-04-12 21:23:50.118000+00:00,1217.0,,,
159,2020-04-13 06:58:32.025000+00:00,2020-04-13 07:18:38.980000+00:00,1205.0,,,
160,2020-04-13 13:47:37.415000+00:00,2020-04-13 14:04:59.787000+00:00,1041.0,,,
161,2020-04-13 21:52:02.676000+00:00,2020-04-13 22:12:18.988000+00:00,1214.0,,,
162,2020-04-14 07:23:10.050000+00:00,2020-04-14 07:33:17.829000+00:00,606.0,,,
163,2020-04-14 11:04:28.848000+00:00,2020-04-14 11:14:39.135000+00:00,608.0,,,
164,2020-04-14 17:55:32.564000+00:00,2020-04-14 18:08:06.268000+00:00,752.0,,,
165,2020-04-15 06:52:18.804000+00:00,2020-04-15 07:12:42.767000+00:00,1222.0,,,
166,2020-04-15 15:22:20.491000+00:00,2020-04-15 15:34:20.032000+00:00,718.0,,,
167,2020-04-16 07:15:57.950000+00:00,2020-04-16 07:36:08.031000+00:00,1208.0,,,
168,2020-04-16 10:42:16.396000+00:00,2020-04-16 11:03:13.076000+00:00,1255.0,,,
169,2020-04-16 21:55:58.221000+00:00,2020-04-16 22:16:17.555000+00:00,1217.0,,,
170,2020-04-17 11:19:17.649000+00:00,2020-04-17 11:39:27.667000+00:00,1208.0,,,
171,2020-04-17 17:28:34.552000+00:00,2020-04-17 17:38:56.174000+00:00,620.0,,,
172,2020-04-17 20:23:22.606000+00:00,2020-04-17 20:43:32.034000+00:00,1207.0,,,
173,2020-04-18 10:22:09.616000+00:00,2020-04-18 10:42:32.861000+00:00,1221.0,,,
175,2020-04-19 10:40:08.790000+00:00,2020-04-19 11:00:30.092000+00:00,1219.0,,,
176,2020-04-19 21:37:29.649000+00:00,2020-04-19 21:57:45.801000+00:00,1214.0,,,
177,2020-04-20 19:12:41.614000+00:00,2020-04-20 19:32:47.816000+00:00,1204.0,,,
178,2020-04-20 21:33:31.374000+00:00,2020-04-20 21:53:41.784000+00:00,1208.0,,,
179,2020-04-21 06:27:52.815000+00:00,2020-04-21 06:43:33.137000+00:00,939.0,,,
180,2020-04-22 18:10:07.293000+00:00,2020-04-22 18:41:13.483000+00:00,1864.0,,,
181,2020-04-22 21:49:03.229000+00:00,2020-04-22 22:09:22.678000+00:00,1217.0,,,
182,2020-04-23 07:55:47.872000+00:00,2020-04-23 08:20:27.196000+00:00,1477.0,,,
183,2020-04-23 21:20:38.762000+00:00,2020-04-23 21:41:15.330000+00:00,1215.0,,,
184,2020-04-24 18:24:33.614000+00:00,2020-04-24 18:42:05.735000+00:00,1050.0,,,
186,2020-04-24 18:45:46.595000+00:00,2020-04-24 19:15:46.595000+00:00,1800.0,,,
188,2020-04-25 09:47:56.029000+00:00,2020-04-25 10:08:46.871000+00:00,1249.0,,,
189,2020-04-26 20:36:04.004000+00:00,2020-04-26 20:49:45.586000+00:00,820.0,,,
190,2020-04-26 20:53:35.082000+00:00,2020-04-26 21:23:57.937000+00:00,1821.0,,,
191,2020-04-27 07:20:58.974000+00:00,2020-04-27 07:43:07.729000+00:00,1327.0,,,
192,2020-04-28 20:04:46.186000+00:00,2020-04-28 20:26:44.736000+00:00,1317.0,,,
193,2020-04-29 12:46:35.809000+00:00,2020-04-29 13:07:56.829000+00:00,1279.0,,,
194,2020-04-29 21:28:33.711000+00:00,2020-04-29 21:58:50.506000+00:00,1815.0,,,
195,2020-04-30 06:41:46.371000+00:00,2020-04-30 07:02:07.172000+00:00,1219.0,,,
196,2020-04-30 11:10:14.575000+00:00,2020-04-30 11:20:41.620000+00:00,611.0,,,
197,2020-04-30 21:06:54.931000+00:00,2020-04-30 21:37:10.016000+00:00,1813.0,,,
198,2020-05-01 14:44:25.805000+00:00,2020-05-01 15:04:28.958000+00:00,1201.0,,,
199,2020-05-01 21:01:39.345000+00:00,2020-05-01 21:31:56.197000+00:00,1815.0,,,
200,2020-05-02 13:36:11.331000+00:00,2020-05-02 13:57:01.685000+00:00,1248.0,,,
201,2020-05-03 11:06:06.531000+00:00,2020-05-03 11:26:43.070000+00:00,1235.0,,,
202,2020-05-03 20:55:34.392000+00:00,2020-05-03 21:05:55.730000+00:00,620.0,,,
203,2020-05-03 21:07:36.782000+00:00,2020-05-03 21:37:59.112000+00:00,1820.0,,,
204,2020-05-04 07:44:46.862000+00:00,2020-05-04 08:06:08.477000+00:00,1280.0,,,
205,2020-05-04 11:19:17.059000+00:00,2020-05-04 11:30:19.301000+00:00,607.0,,,
206,2020-05-04 21:06:37.853000+00:00,2020-05-04 21:36:50.964000+00:00,1811.0,,,
207,2020-05-05 05:27:19.044000+00:00,2020-05-05 05:47:47.234000+00:00,1226.0,,,
208,2020-05-05 21:03:05.525000+00:00,2020-05-05 21:33:17.442000+00:00,1810.0,,,
209,2020-05-06 10:11:15.411000+00:00,2020-05-06 10:33:19.461000+00:00,1322.0,,,
210,2020-05-06 18:50:57.552000+00:00,2020-05-06 19:01:43.908000+00:00,645.0,,,
211,2020-05-06 19:02:58.202000+00:00,2020-05-06 19:13:46.587000+00:00,647.0,,,
212,2020-05-06 21:21:40.601000+00:00,2020-05-06 21:31:46.088000+00:00,604.0,,,
213,2020-05-06 21:32:16.762000+00:00,2020-05-06 21:54:31.530000+00:00,1333.0,,,
214,2020-05-07 08:17:40.695000+00:00,2020-05-07 08:38:31.575000+00:00,1249.0,,,
215,2020-05-07 20:46:46.160000+00:00,2020-05-07 20:58:15.529000+00:00,688.0,,,
216,2020-05-08 11:41:44.775000+00:00,2020-05-08 12:00:57.384000+00:00,1150.0,,,
217,2020-05-08 21:46:43.934000+00:00,2020-05-08 21:54:33.612000+00:00,468.0,,,
218,2020-05-08 21:55:51.452000+00:00,2020-05-08 22:14:17.926000+00:00,1105.0,,,
219,2020-05-08 22:00:00+00:00,2020-05-08 22:20:00+00:00,1200.0,,,
220,2020-05-09 18:19:21.493000+00:00,2020-05-09 18:29:46.914000+00:00,624.0,,,
221,2020-05-09 18:30:46.287000+00:00,2020-05-09 18:41:05.042000+00:00,617.0,,,
222,2020-05-09 21:47:30.731000+00:00,2020-05-09 22:17:40.747000+00:00,1808.0,,,
223,2020-05-10 09:55:28.317000+00:00,2020-05-10 10:15:42.276000+00:00,1212.0,,,
224,2020-05-10 20:53:14.271000+00:00,2020-05-10 21:04:54.271000+00:00,698.0,,,
225,2020-05-10 21:05:56.042000+00:00,2020-05-10 21:26:57.272000+00:00,1259.0,,,
226,2020-05-11 19:12:47.245000+00:00,2020-05-11 19:33:10.992000+00:00,1222.0,,,
227,2020-05-11 21:23:58.342000+00:00,2020-05-11 21:54:18.086000+00:00,1818.0,,,
228,2020-05-12 08:12:30.613000+00:00,2020-05-12 08:23:05.269000+00:00,633.0,,,
229,2020-05-12 08:24:01.925000+00:00,2020-05-12 08:34:09.759000+00:00,606.0,,,
230,2020-05-12 13:57:44.909000+00:00,2020-05-12 14:14:52.316000+00:00,1026.0,,,
231,2020-05-12 21:15:16.488000+00:00,2020-05-12 21:45:32.182000+00:00,1813.0,,,
232,2020-05-13 07:45:09.933000+00:00,2020-05-13 08:07:36.618000+00:00,1345.0,,,
233,2020-05-13 19:46:29.221000+00:00,2020-05-13 19:57:41.578000+00:00,671.0,,,
234,2020-05-13 19:58:59.695000+00:00,2020-05-13 20:09:09.683000+00:00,608.0,,,
235,2020-05-13 21:25:31.120000+00:00,2020-05-13 21:55:50.199000+00:00,1817.0,,,
236,2020-05-14 09:11:52.861000+00:00,2020-05-14 09:32:04.418000+00:00,1210.0,,,
237,2020-05-14 21:02:13.166000+00:00,2020-05-14 21:12:28.181000+00:00,613.0,,,
238,2020-05-14 21:16:51.164000+00:00,2020-05-14 21:47:01.264000+00:00,1808.0,,,
239,2020-05-15 07:52:44.749000+00:00,2020-05-15 08:13:00.779000+00:00,1214.0,,,
240,2020-05-15 17:54:08.344000+00:00,2020-05-15 18:04:16.040000+00:00,606.0,,,
241,2020-05-15 22:45:16.580000+00:00,2020-05-15 22:48:28.358000+00:00,190.0,,,
242,2020-05-16 09:29:40.504000+00:00,2020-05-16 09:49:56.411000+00:00,1214.0,,,
243,2020-05-16 21:17:06.635000+00:00,2020-05-16 21:27:18.778000+00:00,610.0,,,
244,2020-05-16 21:28:20.269000+00:00,2020-05-16 21:38:28.534000+00:00,607.0,,,
245,2020-05-16 21:46:50.104000+00:00,2020-05-16 22:01:28.866000+00:00,876.0,,,
246,2020-05-17 07:34:42.717000+00:00,2020-05-17 07:54:49.500000+00:00,1205.0,,,
247,2020-05-17 12:22:45.849000+00:00,2020-05-17 12:33:09.650000+00:00,622.0,,,
248,2020-05-17 12:36:52.767000+00:00,2020-05-17 12:47:17.864000+00:00,623.0,,,
249,2020-05-17 21:05:07.255000+00:00,2020-05-17 21:15:30.437000+00:00,621.0,,,
250,2020-05-17 21:20:06.723000+00:00,2020-05-17 21:50:16.227000+00:00,1807.0,,,
251,2020-05-18 08:30:36.842000+00:00,2020-05-18 08:49:12.319000+00:00,1114.0,,,
252,2020-05-18 16:16:23.222000+00:00,2020-05-18 16:26:43.725000+00:00,619.0,,,
253,2020-05-18 21:33:49.925000+00:00,2020-05-18 21:43:52.072000+00:00,600.0,,,
254,2020-05-18 21:50:47.717000+00:00,2020-05-18 22:12:49.215000+00:00,1320.0,,,
255,2020-05-19 06:26:23.594000+00:00,2020-05-19 06:46:59.749000+00:00,1234.0,,,
256,2020-05-19 11:41:45.884000+00:00,2020-05-19 11:52:36.096000+00:00,648.0,,,
257,2020-05-19 11:55:19.057000+00:00,2020-05-19 12:05:55.782000+00:00,635.0,,,
258,2020-05-19 20:08:47.519000+00:00,2020-05-19 20:18:59.674000+00:00,610.0,,,
259,2020-05-19 20:20:42.545000+00:00,2020-05-19 20:51:02.672000+00:00,1818.0,,,
260,2020-05-20 07:56:49.276000+00:00,2020-05-20 08:16:57.780000+00:00,1206.0,,,
261,2020-05-20 21:07:53.063000+00:00,2020-05-20 21:18:10.121000+00:00,615.0,,,
262,2020-05-20 21:19:01.423000+00:00,2020-05-20 21:43:38.676000+00:00,1474.0,,,
263,2020-05-21 07:27:15.784000+00:00,2020-05-21 07:46:32.706000+00:00,1155.0,,,
264,2020-05-21 21:35:35.140000+00:00,2020-05-21 22:05:45.896000+00:00,1809.0,,,
265,2020-05-22 20:28:34.245000+00:00,2020-05-22 20:59:00.781000+00:00,1824.0,,,
266,2020-05-22 21:07:00.897000+00:00,2020-05-22 21:24:30.704000+00:00,1048.0,,,
267,2020-05-23 10:17:28.516000+00:00,2020-05-23 13:45:41.707000+00:00,671.0,,,
268,2020-05-23 21:28:41.264000+00:00,2020-05-23 21:35:55.255000+00:00,432.0,,,
270,2020-05-24 10:26:18.339000+00:00,2020-05-24 10:56:32.387000+00:00,1812.0,,,
271,2020-05-25 08:32:52.236000+00:00,2020-05-25 08:54:07.241000+00:00,1273.0,,,
272,2020-05-25 19:54:31.382000+00:00,2020-05-25 20:04:51.004000+00:00,618.0,,,
273,2020-05-25 20:05:38.693000+00:00,2020-05-25 20:16:26.893000+00:00,646.0,,,
274,2020-05-25 21:42:54.259000+00:00,2020-05-25 22:21:47.771000+00:00,1810.0,,,
275,2020-05-26 06:32:14.277000+00:00,2020-05-26 06:52:40.505000+00:00,1224.0,,,
276,2020-05-26 21:33:34.208000+00:00,2020-05-26 22:03:44.482000+00:00,1808.0,,,
278,2020-05-27 09:54:54.567000+00:00,2020-05-27 10:05:07.407000+00:00,611.0,,,
279,2020-05-27 20:28:20.198000+00:00,2020-05-27 21:01:54.160000+00:00,2012.0,,,
280,2020-05-27 21:03:09.600000+00:00,2020-05-27 21:33:33.578000+00:00,1822.0,,,
281,2020-05-28 09:26:31.472000+00:00,2020-05-28 09:46:36.769000+00:00,1203.0,,,
283,2020-05-29 11:03:32.331000+00:00,2020-05-29 11:33:52.282000+00:00,1818.0,,,
284,2020-05-29 21:25:07.708000+00:00,2020-05-29 21:55:36.995000+00:00,1827.0,,,
285,2020-05-29 21:56:56.406000+00:00,2020-05-29 22:08:58.388000+00:00,720.0,,,
286,2020-05-30 10:28:34.179000+00:00,2020-05-30 10:59:54.234000+00:00,1820.0,,,
287,2020-05-30 21:00:33.965000+00:00,2020-05-30 21:31:08.096000+00:00,1832.0,,,
288,2020-05-30 21:32:14.064000+00:00,2020-05-30 22:02:27.960000+00:00,1812.0,,,
289,2020-05-31 20:20:38.012000+00:00,2020-05-31 20:50:49.631000+00:00,1809.0,,,
290,2020-05-31 21:16:44.421000+00:00,2020-05-31 21:46:58.734000+00:00,1812.0,,,
291,2020-06-01 10:18:41.913000+00:00,2020-06-01 10:49:10.975000+00:00,1827.0,,,
292,2020-06-01 21:21:13.191000+00:00,2020-06-01 21:51:24.776000+00:00,1809.0,,,
293,2020-06-02 14:15:49.373000+00:00,2020-06-02 14:36:42.895000+00:00,1252.0,,,
